LFENZID,nzsegment
21450,1000358
21450,1000369
21433,1000554
21433,1000621
21434,1000603
21434,1000624
19559,1000834
19559,1000851
19572,1000923
19572,1000937
24632,1001001
24621,1000995
24621,1001011
24628,1001050
24628,1001074
24620,1001113
24620,1001116
24619,1001201
24619,1001202
24596,1001284
24596,1001293
24592,1001277
24592,1001278
24550,1001318
24500,1001333
24511,1001449
24511,1001455
24539,1001446
24539,1001471
21593,1001652
24415,1002037
24415,1002038
19509,1002206
13466,1002217
13466,1002225
13467,1002221
13467,1002246
18729,1002428
18718,1002857
18717,1002918
23689,1003010
23691,1003006
23691,1003107
23660,1004923
23660,1005233
24313,1005919
24313,1006003
24304,1005635
24304,1005814
24339,1006857
24346,1007016
24351,1007131
24351,1007137
24271,1007930
24271,1007958
23617,1008711
23617,1008793
23721,1010350
23721,1010360
21544,1010685
21544,1010724
24039,1010958
24039,1010959
24024,1011169
24024,1011173
21542,1011114
24015,1012021
24015,1012022
24010,1012014
23880,1017922
23314,1018680
23314,1018722
23306,1018951
23306,1019008
22929,1021356
22929,1021435
21926,1021730
21997,1021954
21917,1021919
21917,1021960
21917,1021966
21918,1021984
21918,1021992
21494,1024207
21486,1024700
22449,1025321
22495,1025969
22495,1025996
22472,1026066
22472,1026069
21773,1026198
21773,1026305
22201,1026768
22201,1026769
21763,1026926
21763,1026932
17761,1027451
17761,1027485
22785,1027878
22785,1027954
21865,1029036
17750,1029227
17750,1029323
50349,1029938
50349,1030004
50336,1030190
50336,1030237
50335,1030446
50320,1030589
50320,1030728
50324,1030912
50324,1030934
50403,1031007
50403,1031118
50413,1031274
50413,1031310
50373,1031546
50373,1031547
50375,1031565
50309,1031610
50309,1031637
50371,1031682
50371,1031687
50299,1031828
50299,1031906
22999,2028791
22999,2028792
21869,2029756
21869,2029811
49643,2031596
49643,2031717
50245,2031767
50245,2031857
50269,2033146
50269,2033208
50608,2033467
49884,2034043
49884,2034063
49880,2034375
49880,2034403
50036,2034845
50139,2036141
50139,2036175
45935,2037198
45935,2037206
45819,2038485
45819,2038499
45905,2038736
45905,2038737
49573,2039397
49573,2039403
45814,2039668
45814,2039784
45812,2040052
45812,2040135
45813,2039971
45813,2040103
51196,2041646
51242,2042398
51242,2042445
51225,2042604
51225,2042635
49514,2042864
49493,2043342
49337,2045320
49337,2045450
49414,2045960
49414,2046093
51368,3043680
51368,3043733
49295,3047685
49295,3047710
45975,3047979
