Agency,Indicator,hour,sample_count
Auckland Council,BDISC,6,4
Auckland Council,BDISC,7,326
Auckland Council,BDISC,8,847
Auckland Council,BDISC,9,1243
Auckland Council,BDISC,10,1258
Auckland Council,BDISC,11,1148
Auckland Council,BDISC,12,1191
Auckland Council,BDISC,13,949
Auckland Council,BDISC,14,486
Auckland Council,BDISC,15,96
Auckland Council,BDISC,16,10
Auckland Council,BDISC,17,2
Auckland Council,BDISC,18,29
Auckland Council,DIN,6,27
Auckland Council,DIN,7,249
Auckland Council,DIN,8,642
Auckland Council,DIN,9,978
Auckland Council,DIN,10,1024
Auckland Council,DIN,11,1002
Auckland Council,DIN,12,978
Auckland Council,DIN,13,768
Auckland Council,DIN,14,370
Auckland Council,DIN,15,91
Auckland Council,DIN,16,10
Auckland Council,DIN,17,1
Auckland Council,DIN,18,2
Auckland Council,DRP,6,27
Auckland Council,DRP,7,257
Auckland Council,DRP,8,668
Auckland Council,DRP,9,1010
Auckland Council,DRP,10,1051
Auckland Council,DRP,11,1035
Auckland Council,DRP,12,1000
Auckland Council,DRP,13,785
Auckland Council,DRP,14,381
Auckland Council,DRP,15,90
Auckland Council,DRP,16,10
Auckland Council,DRP,17,1
Auckland Council,DRP,18,2
Auckland Council,ECOLI,6,29
Auckland Council,ECOLI,7,249
Auckland Council,ECOLI,8,612
Auckland Council,ECOLI,9,969
Auckland Council,ECOLI,10,1005
Auckland Council,ECOLI,11,1001
Auckland Council,ECOLI,12,906
Auckland Council,ECOLI,13,743
Auckland Council,ECOLI,14,343
Auckland Council,ECOLI,15,89
Auckland Council,ECOLI,16,10
Auckland Council,NH4,6,28
Auckland Council,NH4,7,257
Auckland Council,NH4,8,662
Auckland Council,NH4,9,1001
Auckland Council,NH4,10,1040
Auckland Council,NH4,11,1034
Auckland Council,NH4,12,999
Auckland Council,NH4,13,780
Auckland Council,NH4,14,377
Auckland Council,NH4,15,91
Auckland Council,NH4,16,10
Auckland Council,NH4,17,1
Auckland Council,NH4,18,2
Auckland Council,NO3N,6,9
Auckland Council,NO3N,7,55
Auckland Council,NO3N,8,139
Auckland Council,NO3N,9,229
Auckland Council,NO3N,10,239
Auckland Council,NO3N,11,288
Auckland Council,NO3N,12,255
Auckland Council,NO3N,13,208
Auckland Council,NO3N,14,129
Auckland Council,NO3N,15,49
Auckland Council,NO3N,16,8
Auckland Council,PH,6,27
Auckland Council,PH,7,196
Auckland Council,PH,8,518
Auckland Council,PH,9,815
Auckland Council,PH,10,864
Auckland Council,PH,11,909
Auckland Council,PH,12,830
Auckland Council,PH,13,637
Auckland Council,PH,14,296
Auckland Council,PH,15,84
Auckland Council,PH,16,10
Auckland Council,TN,6,27
Auckland Council,TN,7,199
Auckland Council,TN,8,524
Auckland Council,TN,9,828
Auckland Council,TN,10,878
Auckland Council,TN,11,924
Auckland Council,TN,12,879
Auckland Council,TN,13,647
Auckland Council,TN,14,303
Auckland Council,TN,15,85
Auckland Council,TN,16,10
Auckland Council,TON,6,27
Auckland Council,TON,7,252
Auckland Council,TON,8,657
Auckland Council,TON,9,1005
Auckland Council,TON,10,1047
Auckland Council,TON,11,1028
Auckland Council,TON,12,997
Auckland Council,TON,13,785
Auckland Council,TON,14,382
Auckland Council,TON,15,91
Auckland Council,TON,16,10
Auckland Council,TON,17,1
Auckland Council,TON,18,2
Auckland Council,TP,6,28
Auckland Council,TP,7,257
Auckland Council,TP,8,668
Auckland Council,TP,9,1011
Auckland Council,TP,10,1051
Auckland Council,TP,11,1036
Auckland Council,TP,12,1001
Auckland Council,TP,13,787
Auckland Council,TP,14,383
Auckland Council,TP,15,91
Auckland Council,TP,16,10
Auckland Council,TP,17,1
Auckland Council,TP,18,2
Auckland Council,TURB,6,27
Auckland Council,TURB,7,257
Auckland Council,TURB,8,667
Auckland Council,TURB,9,1009
Auckland Council,TURB,10,1051
Auckland Council,TURB,11,1034
Auckland Council,TURB,12,1000
Auckland Council,TURB,13,786
Auckland Council,TURB,14,383
Auckland Council,TURB,15,91
Auckland Council,TURB,16,10
Auckland Council,TURB,17,1
Auckland Council,TURB,18,2
Bay of Plenty Regional Council,BDISC,6,1
Bay of Plenty Regional Council,BDISC,7,15
Bay of Plenty Regional Council,BDISC,8,207
Bay of Plenty Regional Council,BDISC,9,600
Bay of Plenty Regional Council,BDISC,10,867
Bay of Plenty Regional Council,BDISC,11,789
Bay of Plenty Regional Council,BDISC,12,622
Bay of Plenty Regional Council,BDISC,13,505
Bay of Plenty Regional Council,BDISC,14,352
Bay of Plenty Regional Council,BDISC,15,132
Bay of Plenty Regional Council,BDISC,16,30
Bay of Plenty Regional Council,BDISC,17,2
Bay of Plenty Regional Council,DIN,6,4
Bay of Plenty Regional Council,DIN,7,5
Bay of Plenty Regional Council,DIN,8,40
Bay of Plenty Regional Council,DIN,9,127
Bay of Plenty Regional Council,DIN,10,164
Bay of Plenty Regional Council,DIN,11,147
Bay of Plenty Regional Council,DIN,12,126
Bay of Plenty Regional Council,DIN,13,97
Bay of Plenty Regional Council,DIN,14,53
Bay of Plenty Regional Council,DIN,15,33
Bay of Plenty Regional Council,DIN,16,17
Bay of Plenty Regional Council,DIN,17,4
Bay of Plenty Regional Council,DIN,18,5
Bay of Plenty Regional Council,DRP,6,15
Bay of Plenty Regional Council,DRP,7,27
Bay of Plenty Regional Council,DRP,8,327
Bay of Plenty Regional Council,DRP,9,1051
Bay of Plenty Regional Council,DRP,10,1580
Bay of Plenty Regional Council,DRP,11,1365
Bay of Plenty Regional Council,DRP,12,1154
Bay of Plenty Regional Council,DRP,13,879
Bay of Plenty Regional Council,DRP,14,522
Bay of Plenty Regional Council,DRP,15,209
Bay of Plenty Regional Council,DRP,16,52
Bay of Plenty Regional Council,DRP,17,11
Bay of Plenty Regional Council,DRP,18,6
Bay of Plenty Regional Council,ECOLI,6,11
Bay of Plenty Regional Council,ECOLI,7,37
Bay of Plenty Regional Council,ECOLI,8,391
Bay of Plenty Regional Council,ECOLI,9,1216
Bay of Plenty Regional Council,ECOLI,10,1749
Bay of Plenty Regional Council,ECOLI,11,1507
Bay of Plenty Regional Council,ECOLI,12,1488
Bay of Plenty Regional Council,ECOLI,13,960
Bay of Plenty Regional Council,ECOLI,14,563
Bay of Plenty Regional Council,ECOLI,15,212
Bay of Plenty Regional Council,ECOLI,16,53
Bay of Plenty Regional Council,ECOLI,17,10
Bay of Plenty Regional Council,ECOLI,18,3
Bay of Plenty Regional Council,NH4,6,12
Bay of Plenty Regional Council,NH4,7,24
Bay of Plenty Regional Council,NH4,8,327
Bay of Plenty Regional Council,NH4,9,1061
Bay of Plenty Regional Council,NH4,10,1596
Bay of Plenty Regional Council,NH4,11,1385
Bay of Plenty Regional Council,NH4,12,1163
Bay of Plenty Regional Council,NH4,13,884
Bay of Plenty Regional Council,NH4,14,527
Bay of Plenty Regional Council,NH4,15,207
Bay of Plenty Regional Council,NH4,16,52
Bay of Plenty Regional Council,NH4,17,10
Bay of Plenty Regional Council,NH4,18,6
Bay of Plenty Regional Council,PH,6,8
Bay of Plenty Regional Council,PH,7,21
Bay of Plenty Regional Council,PH,8,328
Bay of Plenty Regional Council,PH,9,1067
Bay of Plenty Regional Council,PH,10,1595
Bay of Plenty Regional Council,PH,11,1389
Bay of Plenty Regional Council,PH,12,1148
Bay of Plenty Regional Council,PH,13,885
Bay of Plenty Regional Council,PH,14,525
Bay of Plenty Regional Council,PH,15,202
Bay of Plenty Regional Council,PH,16,48
Bay of Plenty Regional Council,PH,17,8
Bay of Plenty Regional Council,PH,18,4
Bay of Plenty Regional Council,TN,6,8
Bay of Plenty Regional Council,TN,7,21
Bay of Plenty Regional Council,TN,8,278
Bay of Plenty Regional Council,TN,9,873
Bay of Plenty Regional Council,TN,10,1288
Bay of Plenty Regional Council,TN,11,1132
Bay of Plenty Regional Council,TN,12,945
Bay of Plenty Regional Council,TN,13,729
Bay of Plenty Regional Council,TN,14,418
Bay of Plenty Regional Council,TN,15,167
Bay of Plenty Regional Council,TN,16,48
Bay of Plenty Regional Council,TN,17,10
Bay of Plenty Regional Council,TN,18,6
Bay of Plenty Regional Council,TON,6,16
Bay of Plenty Regional Council,TON,7,27
Bay of Plenty Regional Council,TON,8,332
Bay of Plenty Regional Council,TON,9,1069
Bay of Plenty Regional Council,TON,10,1596
Bay of Plenty Regional Council,TON,11,1400
Bay of Plenty Regional Council,TON,12,1173
Bay of Plenty Regional Council,TON,13,889
Bay of Plenty Regional Council,TON,14,527
Bay of Plenty Regional Council,TON,15,205
Bay of Plenty Regional Council,TON,16,52
Bay of Plenty Regional Council,TON,17,11
Bay of Plenty Regional Council,TON,18,6
Bay of Plenty Regional Council,TP,6,11
Bay of Plenty Regional Council,TP,7,23
Bay of Plenty Regional Council,TP,8,332
Bay of Plenty Regional Council,TP,9,1073
Bay of Plenty Regional Council,TP,10,1601
Bay of Plenty Regional Council,TP,11,1401
Bay of Plenty Regional Council,TP,12,1168
Bay of Plenty Regional Council,TP,13,888
Bay of Plenty Regional Council,TP,14,527
Bay of Plenty Regional Council,TP,15,208
Bay of Plenty Regional Council,TP,16,52
Bay of Plenty Regional Council,TP,17,10
Bay of Plenty Regional Council,TP,18,6
Bay of Plenty Regional Council,TURB,6,18
Bay of Plenty Regional Council,TURB,7,30
Bay of Plenty Regional Council,TURB,8,342
Bay of Plenty Regional Council,TURB,9,1099
Bay of Plenty Regional Council,TURB,10,1622
Bay of Plenty Regional Council,TURB,11,1431
Bay of Plenty Regional Council,TURB,12,1195
Bay of Plenty Regional Council,TURB,13,902
Bay of Plenty Regional Council,TURB,14,539
Bay of Plenty Regional Council,TURB,15,222
Bay of Plenty Regional Council,TURB,16,53
Bay of Plenty Regional Council,TURB,17,15
Bay of Plenty Regional Council,TURB,18,8
Environment Canterbury,BDISC,6,19
Environment Canterbury,BDISC,7,323
Environment Canterbury,BDISC,8,1078
Environment Canterbury,BDISC,9,1890
Environment Canterbury,BDISC,10,2249
