Agency,Indicator,sample_min_date,sample_max_date,sample_count
Auckland Council,BDISC,2005-01-13,2009-09-21,23
Auckland Council,DIN,2005-01-11,2022-05-09,44
Auckland Council,DRP,2005-01-11,2022-05-09,50
Auckland Council,ECOLI,2005-06-22,2022-05-09,97
Auckland Council,NH4,2005-01-11,2022-05-09,44
Auckland Council,NO3N,2019-02-07,2022-05-09,8
Auckland Council,PH,2009-09-21,2022-05-09,21
Auckland Council,TN,2009-09-21,2022-05-09,21
Auckland Council,TON,2005-01-11,2022-05-09,50
Auckland Council,TP,2005-01-11,2022-05-09,50
Auckland Council,TURB,2005-01-11,2022-05-09,50
Bay of Plenty Regional Council,BDISC,2004-12-21,2022-08-25,72
Bay of Plenty Regional Council,DIN,2021-07-05,2022-12-12,17
Bay of Plenty Regional Council,DRP,2004-12-21,2022-12-12,125
Bay of Plenty Regional Council,ECOLI,2004-12-21,2022-12-12,142
Bay of Plenty Regional Council,NH4,2004-12-21,2022-12-12,125
Bay of Plenty Regional Council,PH,2004-12-21,2022-12-12,127
Bay of Plenty Regional Council,TN,2010-01-12,2022-12-12,108
Bay of Plenty Regional Council,TON,2004-12-21,2022-12-12,126
Bay of Plenty Regional Council,TP,2004-12-21,2022-12-12,127
Bay of Plenty Regional Council,TURB,2004-12-21,2022-12-12,131
Environment Canterbury,BDISC,2014-04-10,2014-04-10,7
Environment Canterbury,DIN,2005-02-17,2014-04-10,70
Environment Canterbury,DRP,2005-02-17,2014-04-10,32
Environment Canterbury,ECOLI,2005-02-17,2014-04-10,69
Environment Canterbury,NH4,2005-02-17,2014-04-10,70
Environment Canterbury,PH,2005-02-17,2014-04-10,69
Environment Canterbury,TN,2005-02-17,2014-04-10,70
Environment Canterbury,TON,2005-02-17,2014-04-10,70
Environment Canterbury,TP,2005-02-17,2014-04-10,70
Environment Canterbury,TURB,2005-02-17,2014-04-10,69
Environment Southland,BDISC,2015-01-15,2015-01-15,2
Environment Southland,DIN,2008-11-25,2015-01-15,3
Environment Southland,DRP,2015-01-15,2015-01-15,2
Environment Southland,ECOLI,2015-01-15,2015-01-15,2
Environment Southland,NH4,2015-01-15,2015-01-15,2
Environment Southland,NO3N,2015-01-15,2015-01-15,2
Environment Southland,PH,2015-01-15,2015-01-15,2
Environment Southland,TN,2015-01-15,2015-01-15,2
Environment Southland,TON,2008-11-25,2015-01-15,3
Environment Southland,TP,2015-01-15,2015-01-15,2
Environment Southland,TURB,2015-01-15,2015-01-15,2
Gisborne District Council,DRP,2008-12-10,2016-02-05,3
Gisborne District Council,ECOLI,2004-08-25,2016-02-05,5
Gisborne District Council,NH4,2008-12-10,2016-02-05,3
Gisborne District Council,NO3N,2008-12-10,2016-02-05,3
Gisborne District Council,PH,2004-08-25,2016-02-12,31
Gisborne District Council,TN,2016-02-05,2016-02-05,1
Gisborne District Council,TON,2016-02-05,2016-02-05,1
Gisborne District Council,TP,2016-02-05,2016-02-05,1
Gisborne District Council,TURB,2008-12-10,2015-11-12,4
Greater Wellington Regional Council,BDISC,2016-05-10,2022-03-16,41
Greater Wellington Regional Council,DIN,2016-05-10,2016-05-10,1
Greater Wellington Regional Council,DRP,2016-05-10,2016-05-10,1
Greater Wellington Regional Council,ECOLI,2016-05-10,2016-05-10,1
Greater Wellington Regional Council,NH4,2016-05-10,2016-05-10,1
Greater Wellington Regional Council,NO3N,2016-05-10,2016-05-10,1
Greater Wellington Regional Council,PH,2016-05-10,2016-05-10,1
Greater Wellington Regional Council,TN,2016-05-10,2016-05-10,1
Greater Wellington Regional Council,TON,2016-05-10,2016-05-10,1
Greater Wellington Regional Council,TP,2016-05-10,2016-05-10,1
Greater Wellington Regional Council,TURB,2016-05-10,2016-05-10,1
Hawkes Bay Regional Council,BDISC,2004-03-26,2015-11-17,77
Hawkes Bay Regional Council,DIN,2004-03-26,2022-08-18,91
