LawaSiteID,Indicator,Units,value_count
arc-00001,BDISC,m,264
arc-00001,DIN,mg/l,206
arc-00001,DRP,mg/l,210
arc-00001,ECOLI,/100ml,193
arc-00001,NH4,mg/l,209
arc-00001,NO3N,mg/l,49
arc-00001,PH,ph,163
arc-00001,TN,mg/l,166
arc-00001,TON,mg/l,210
arc-00001,TP,mg/l,211
arc-00001,TURB,ntu,211
arc-00003,BDISC,m,270
arc-00003,DIN,mg/l,206
arc-00003,DRP,mg/l,211
arc-00003,ECOLI,/100ml,194
arc-00003,NH4,mg/l,210
arc-00003,NO3N,mg/l,50
arc-00003,PH,ph,163
arc-00003,TN,mg/l,166
arc-00003,TON,mg/l,211
arc-00003,TP,mg/l,212
arc-00003,TURB,ntu,212
arc-00004,BDISC,m,271
arc-00004,DIN,mg/l,209
arc-00004,DRP,mg/l,215
arc-00004,ECOLI,/100ml,197
arc-00004,NH4,mg/l,213
arc-00004,NO3N,mg/l,49
arc-00004,PH,ph,163
arc-00004,TN,mg/l,167
arc-00004,TON,mg/l,214
arc-00004,TP,mg/l,215
arc-00004,TURB,ntu,214
arc-00005,BDISC,m,275
arc-00005,DIN,mg/l,209
arc-00005,DRP,mg/l,215
arc-00005,ECOLI,/100ml,197
arc-00005,NH4,mg/l,213
arc-00005,NO3N,mg/l,49
arc-00005,PH,ph,163
arc-00005,TN,mg/l,167
arc-00005,TON,mg/l,214
arc-00005,TP,mg/l,215
arc-00005,TURB,ntu,214
arc-00006,BDISC,m,270
arc-00006,DIN,mg/l,206
arc-00006,DRP,mg/l,214
arc-00006,ECOLI,/100ml,208
arc-00006,NH4,mg/l,210
arc-00006,NO3N,mg/l,49
arc-00006,PH,ph,164
arc-00006,TN,mg/l,167
arc-00006,TON,mg/l,213
arc-00006,TP,mg/l,214
arc-00006,TURB,ntu,213
arc-00008,BDISC,m,275
arc-00008,DIN,mg/l,209
arc-00008,DRP,mg/l,215
arc-00008,ECOLI,/100ml,197
arc-00008,NH4,mg/l,213
arc-00008,NO3N,mg/l,49
arc-00008,PH,ph,164
arc-00008,TN,mg/l,167
arc-00008,TON,mg/l,214
arc-00008,TP,mg/l,215
arc-00008,TURB,ntu,214
arc-00009,BDISC,m,276
arc-00009,DIN,mg/l,208
arc-00009,DRP,mg/l,215
arc-00009,ECOLI,/100ml,197
arc-00009,NH4,mg/l,213
arc-00009,NO3N,mg/l,48
arc-00009,PH,ph,162
arc-00009,TN,mg/l,167
arc-00009,TON,mg/l,213
arc-00009,TP,mg/l,215
arc-00009,TURB,ntu,215
arc-00010,BDISC,m,276
arc-00010,DIN,mg/l,208
arc-00010,DRP,mg/l,215
arc-00010,ECOLI,/100ml,195
arc-00010,NH4,mg/l,213
arc-00010,NO3N,mg/l,49
arc-00010,PH,ph,161
arc-00010,TN,mg/l,167
arc-00010,TON,mg/l,213
arc-00010,TP,mg/l,215
arc-00010,TURB,ntu,215
arc-00013,BDISC,m,276
arc-00013,DIN,mg/l,209
arc-00013,DRP,mg/l,214
