wq_lawa_site_id,nzsegment
arc-00001,2038450
arc-00003,2036631
arc-00004,2035811
arc-00005,2032400
arc-00006,2032082
arc-00008,2031444
arc-00009,2045595
arc-00010,2038228
arc-00013,2038644
arc-00014,2040298
arc-00015,2040105
arc-00016,2040035
arc-00018,2039146
arc-00019,2039478
arc-00021,2041640
arc-00022,2040911
arc-00024,2035301
arc-00025,2041541
arc-00026,2033563
arc-00028,2046309
arc-00029,2044889
arc-00030,2043043
arc-00031,2035898
arc-00033,2033634
arc-00034,2038396
arc-00035,2034480
arc-00036,2039302
arc-00038,2033818
arc-00039,2036988
arc-00040,2033942
arc-00057,2034480
arc-00074,2035880
arc-00079,2040911
arc-00090,2041541
arc-00095,2033942
arc-00133,2035104
ccc-00001,13125998
ccc-00002,13126056
ccc-00003,13126056
ccc-00004,13125949
ccc-00005,13126521
ccc-00006,13126887
ccc-00007,13126143
ccc-00008,13125379
ccc-00009,13125573
ccc-00010,13124986
ccc-00011,13124862
ccc-00012,13125211
ccc-00013,13126242
ccc-00014,13127645
ccc-00015,13127645
ccc-00016,13127599
ccc-00017,13127301
ccc-00018,13127588
ccc-00019,13129311
ccc-00020,13128771
ccc-00021,13128486
ccc-00022,13128553
ccc-00023,13127589
ccc-00024,13127284
ccc-00026,13127671
ccc-00027,13127822
ccc-00028,13122992
ccc-00029,13123110
ccc-00030,13123246
ccc-00031,13121853
ccc-00032,13122126
ccc-00033,13122947
ccc-00034,13121945
ccc-00035,13119601
ccc-00036,13129757
ccc-00037,13129840
ccc-00038,13130361
ccc-00039,13122442
ccc-00040,13121174
ccc-00041,13126901
ccc-00042,13122441
ebop-00001,4056999
ebop-00002,4068490
ebop-00003,4067671
ebop-00005,4061634
ebop-00006,4060232
ebop-00007,4079528
ebop-00009,4065653
ebop-00010,4084132
ebop-00012,4081484
ebop-00013,4063149
ebop-00014,4087167
ebop-00016,4066594
ebop-00017,4069158
ebop-00019,4090417
ebop-00021,4088344
ebop-00022,4061605
ebop-00023,4060268
ebop-00024,4085079
ebop-00025,4079947
ebop-00026,4056390
ebop-00027,4056302
ebop-00028,4054162
ebop-00030,4052954
ebop-00031,4084995
ebop-00032,4062738
ebop-00033,4061978
ebop-00035,4058540
ebop-00036,4063235
ebop-00037,4060265
ebop-00038,4067911
ebop-00039,4061876
ebop-00040,4056794
ebop-00041,4091099
ebop-00042,4083343
ebop-00044,4087678
ebop-00047,4072145
ebop-00052,4055742
ebop-00057,4064299
ebop-00062,4087004
ebop-00075,4072607
ebop-00101,4063576
ebop-00102,4141704
ebop-00104,4150879
ecan-00001,13182017
ecan-00002,13182378
ecan-00003,13184248
ecan-00007,13172090
ecan-00008,13184235
ecan-00010,13188560
ecan-00014,13148714
ecan-00016,13145164
ecan-00018,13145210
ecan-00020,13130091
ecan-00025,13156208
ecan-00026,13151719
ecan-00027,13164483
ecan-00028,13167239
ecan-00034,13166783
ecan-00036,13159825
ecan-00038,13153806
ecan-00040,13167411
ecan-00042,13177908
ecan-00045,13159590
ecan-00046,13165715
ecan-00047,13200724
ecan-00049,13202880
ecan-00050,13155440
ecan-00052,13166798
ecan-00053,13168407
ecan-00054,13208061
ecan-00055,13210161
ecan-00057,13200705
ecan-00058,13198430
ecan-00059,13194094
ecan-00061,13193492
ecan-00062,13154549
ecan-00065,13160108
ecan-00069,13166097
ecan-00070,13106425
ecan-00071,13113942
ecan-00072,13114463
ecan-00079,13118572
ecan-00080,13116963
ecan-00081,13118112
ecan-00082,13118572
ecan-00083,13121152
ecan-00084,13138915
ecan-00085,13135018
ecan-00086,13135461
ecan-00088,13122878
ecan-00091,13140034
ecan-00092,13139941
ecan-00093,13141619
ecan-00094,13138269
ecan-00095,13126088
ecan-00097,13133823
ecan-00100,13141242
ecan-00101,13139742
ecan-00102,13071792
ecan-00103,13071227
ecan-00104,13102963
ecan-00106,13115162
ecan-00107,13070929
ecan-00109,13145196
ecan-00110,13145428
ecan-00111,13069794
ecan-00112,13120332
ecan-00113,13112839
ecan-00114,13084605
ecan-00115,13082635
ecan-00116,13086430
ecan-00117,13183300
ecan-00118,13207053
ecan-00119,13204437
ecan-00121,13204096
ecan-00122,13174573
ecan-00123,13163910
ecan-00124,13190895
